Business,Address,City,State,phurl,Types,Alcohol,Wifi,Score,Price,Hours,Phone,URL,Main,Frugal,Wine,Gluten-Free,Coffee,Vegetarian,Carnivore,Beer,Cocktails,Healthy,Family,Fresh,Dessert,Spicy,Late-Night,Service,Seafood,Fast
Subway,18 Witherspoon St.,Princeton,NJ,http://planetprinceton.com/wp-content/uploads/2012/05/IMG_3094.jpg,"Sandwiches, Fast-Food",No,No,0.625,8,"M-F 7:00am-9:30pm, S 8:00am-9:30pm, Su 8:00am-8:00pm",(609) 924-5063,subway.com,"A chain sandwich shop. The shop is a little cramped, but the value is fantastic.",,,,,,,,,,,,,,,,,
Thai Village,235 Nassau St.,Princeton,NJ,http://www.princetonsrestaurants.com/www.princetonsrestaurants.com/images/large/thai-village-princeton-nj-372x509.jpg,"Thai, Lunch, Dinner",No,No,0.75,15,,(609) 683-3896,,"A lone Thai place, run by Chinese owners, with good but unauthentic food. A good environment for group or family meals.","Lunch special is priced well and comes with a soup, salad, or spring roll.",,,,,,,,,,,"Provides a small selection of desserts, including mango sticky rice.","Dishes can range from mild to spicy, though spice is often added arbitrarily, without complementing the taste.",,,,
The Bent Spoon,35 Palmer Square W,Princeton,NJ,http://www.foodgps.com/wp-content/uploads/2008/06/p6060046.jpg,"Ice Cream, Dessert",No,No,0.8,8,,(609) 924-2368,thebentspoon.net,"Offers authentic, alternative ice-creams. They freshly make ice creams that range in flavor from chocolate to blood-orange. While defeinitely the highest quality ice cream in Princeton, the portions are small and the price is high.",,,,,,,,,,,,,,,,,
Thomas Sweet,179 Nassau St.,Princeton,NJ,http://tkgo.files.wordpress.com/2009/12/large_img_2880.jpg,"Ice Cream, Dessert",No,No,0.83,8,"M-Th 11:00am-11:00pm, F 11:00am-12:00am, Su 11:00am-11:00pm",(609) 683-8720,thomassweet.com,"A popular student hangout ice-cream shop located near the campus of Princeton University. Thomas Sweet's is a classic Princeton establishment, having served the likes of Albert Einstein. They have a variety of ingredients to mix into your ice cream delight from heath bar to graham crackers. ",It's not the cheapest place for people who want dessert. The smaller cups are usually around $4 and don't have a lot of food. It's best to get a larger cup for around $6 and share if you're trying to save,,,,,,,,,,,,,,,,
Tiger Noodles,260 Nassau St,Princeton,NJ,http://staticart.yellowbook.com/adartwork/PaidAds/000/017/262/75.1.gif,"Chinese, Lunch, Dinner",No,No,0.7,8,M-Su 11:30am-10:00pm,(609) 252-0663,,"A generic chinese restaurant, run-of-the-mill in everything from taste to price.","Lunch special is well-priced, with a suitable amount of food.",,,,,,,,,,,,,,,,
Tomo Sushi,236 Nassau St.,Princeton,NJ,http://www.andychendesign.com/blog/tomo.jpg,"Japanese, Lunch, Dinner",No,No,0.8,12,,(609) 924-8897,princetontomosushi.com,"Very small restaurant run by Chinese owners, serving sushi and other Japanese dishes. Very generic and unauthentic, but quick and decently priced.",Lunch special is very well priced and comes with soup and salad.,,,,,,,,,,"Sushi is made with fresh ingredients, and seafood is of decent quality.",,,,,,
Tortuga's,41 Leigh Avenue,Princeton,NJ,https://irs0.4sqi.net/img/general/original/0bNIPjUQCyicDdYH9lBCnmETgpkXyJ6yCFAz8EPTwO0.jpg,"Mexican, Lunch, Dinner",No,No,0.75,20,"M-T 11:30am-9:30pm, F 11:30am-10:00pm, S 5:00pm-10:00pm, Su 5:00pm-9:00pm",(609) 924-5143,tortugasmv.com,A great Mexican place that's located a little bit off the beaten path.,,,,,,,,,,,,,,,,,
Triumph,138 Nassau St,Princeton,NJ,http://idrunkthat.com/wp-content/uploads/2010/02/Triumph_Brewing_New_Hope_011.jpg,"Brewery, Lunch, Dinner",Yes,No,0.8,32,"M-S 11:30am - 10:00pm, Su 12:00pm-10:00pm",(609) 924-7855,triumphbrewing.com,"The best pub-food in Princeton, and it's actually great quality. They have a wide selection of home-brewed beers and a changing menu that always has a nice selection of delicious food.",,,,,,,,,,,,,,,,,
Wawa,140 University Pl,Princeton,NJ,https://is1.4sqi.net/derived_pix/fFL2QRKbbhrD5B6cmH4s1AtG9snoFpKdHsj1pPe_8Eo_300x300.jpg,"Sandwiches, Coffee",No,No,0.6,5,M-Su 12:00am-11:59pm,(609) 921-3677,wawa.com,Very conveniently located convenience shop right next to the Princeton campus. The only Princeton establishment open 24 hours. Tends to get packed during the wee hours of the morning after the weekend parties.,"A great place to pick up a cheap bite to eat. Their fulll hoagies are enormous, and they're not that expensive: only $6 or so. You can also load them up with as many toppings as you like",,,"Their coffee is surprisingly good. And, they have sizes up to 24oz. Their regular blend is light and balanced: a perfect morning cup of Joe. The Columbian roast is good if you want a little more strength. The coffee is freshest in the morning",,,,,Most of the stuff here is not that healthy for you. The salads are deceiving since they tend to be fairly unhealthy. The best you can do is get something like a cobb salad and use a fat-free dressing.,,A small selection of fresh fruits. Sandwiches are typically made with fresh ingredients.,"A small selection of smoothies, desserts, and baked goods. Generally overly sweetened and generic.",,Wawa is the only place open 24 hours. Be sure to stop by on the way back from the parites!,,,"If you come at the right time, you can be in and out right away. But, if you come during lunch or even late-night, you're not going to get served very quickly. Even though they have 4 payment counters, only 2 are typically in use."
Mediterra,29 Hulfish St.,Princeton,NJ,https://lh6.googleusercontent.com/-AXR1JxTGLWA/T37MepS9FRI/AAAAAAAAedo/a9QuYmoI5Ko/s446/Mediterra,"Mediterranean, Dinner",Yes,No,0.9,30,"M-Th 11:30am-10:00pm, F-S 11:30am-11:00pm, Su 12:00pm-10:00pm",(609) 252-9680,mediterrarestaurant.com,"Excellently prepared food right in the heart of Princeton. The environment of Mediterra really captures the feel fo being in the Mediterranean. They have an amazing wine, alcohol, and beer selection, too.","While the high quality food really makes the value of your dollar big here, you're not going to be able to walk out without spending less than $30 / person.",,,,,,,,,,,,,,,,
Witherspoon Grill,57 Witherspoon St.,Princeton,NJ,http://www.princetonsrestaurants.com/www.princetonsrestaurants.com/images/large/witherspoon-grill-367x293.jpg,"American, Dinner, Steakhouse",Yes,No,0.85,30,"M-T 11:00am-3:00pm 4:00pm-10:00pm, W-S 11:00am-3:00pm 4:00pm-11:00pm, Su 12:00pm-3:00pm 4:00pm-10:00pm",(609) 924-6011,witherspoongrill.com,"A wide selection of fresh seafood and meats, including aged steaks. The service is fantastic, and it's right down the block from Princeton University.",,,,,,,,,,,,,,,,,
Princeton Sport's Bar,128 Nassau St.,Princeton,NJ,http://www.1077thebronc.com/wp-content/uploads/2011/01/princeton_sports_bar_grill-300x243.jpg,"American, Bar, Beer",Yes,No,0.6,10,"M-W 5:00pm-9:30pm, T-F 5:00pm-10:00pm, S 4:30pm-10:00pm",(609) 921-7555,princetonsportsbar.com,"A great place to watch a game, grab some bar food, or just have some beers with friends. They have a wide variety of beers sure to please anyone's tastes.",,,,,,,,,,,,,,,,,
Blue Point Grill,258 Nassau St.,Princeton,NJ,https://lh5.googleusercontent.com/-sYtBnYB2Wl0/T3u8z-JMQ0I/AAAAAAAAMD4/51ctHeq9QnY/s446/Blue+Point+Grill,"American, Seafood, Dinner",No,No,0.7,30,,(609) 921-1211,bluepointgrill.com,A stunning selection of seafood. It's as if they were located on a beach! What's also great is that you can buy their food for lunch right next door and eat it in the restaurant.,,,,,,,,,,,,,,,,,
The Ferry House,32 Witherspoon St.,Princeton,NJ,http://www.princetonsrestaurants.com/www.princetonsrestaurants.com/images/large/ferry-house-1-386x227.jpg,"American, Dinner",No,No,0.8,30,,609) 924-2488,theferryhouse.com,,,,,,,,,,,,,,,,,,
Teresa's Cafe,23 Palmer Square East,Princeton,NJ,https://lh5.googleusercontent.com/-iMlaMDfS6kQ/T8SzdJgEgJI/AAAAAAA_YVg/I5lSJmZ5FfI/s647/Teresa%27s+Caffe,"American, Dinner",Yes,No,0.7,20,,(610) 293-9909,teresas-cafe.com,"From the owner: Simple Italian inspired fare in a neighborhood trattoria style atmosphere in Princeton's Palmer Sq. Fresh, local ingredients, seasonal pasta dishes, pizzette and a mostly regional Italian wine list.â€ù",,,,,,,,,,,,,,,,,
Alchemist and Barrister,28 Witherspoon St.,Princeton,NJ,https://lh4.googleusercontent.com/-YW_wOQ5xceo/TkcsAEhqJDI/AAAAAAAAACU/FHp145KWh9A/s730/Alchemist+&+Barrister,"American, Beer, Pub, Dinner",Yes,No,0.6,15,,(609) 924-5555,theaandb.com,,,,,,,,,,,,,,,,,,
Taste of Mexico,180 Nassau St.,Princeton,NJ,http://s3-media1.ak.yelpcdn.com/bphoto/vLouTmLVV_n5raPEny_6zQ/l.jpg,"Mexican, Dinner, Lunch",No,No,0.6,10,,(609) 924-0500,,,,,,,,,,,,,,,,,,,
Eno Terra,4484 New Jersey 27,Kingston,NJ,https://lh5.googleusercontent.com/-xcWsAHulYr4/T5BmxHYNBrI/AAAAAAAXLPw/2ZKlYxC8dSo/s379/Eno+Terra+Restaurant,"American, Dinner, Lunch",Yes,No,0.9,30,,(609) 497-1777,enoterra.com,"From the owner: Eno Terra - for lovers of good food & exceptional wine. Off D&R Canal in historic Kingston, NJ. Read the NYT review - on our website",,,,,,,,,,,,,,,,,
